,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14
0,0.0,16.5,63.0,15.5,0.0,23.0,28.75,25.25,9.25,15.0,6.0,22.5,4.5,7.0,0.0,19.5,22.0,16.75,0.0,18.5,18.0,12.25,52.25,27.5,61.5,18.25,23.25,12.0,48.25,5.0,33.75,73.0,46.5,30.25,17.75,0.0,71.0,21.5,22.5,33.0,16.75,24.5,44.0,32.0,4.75,26.0,11.25,14.25,0.0,7.25,8.75
1,0.0,0.0,36.75,17.25,6.5,28.25,19.5,81.5,18.75,3.75,54.75,4.0,0.0,19.5,40.0,7.0,29.5,23.25,22.5,22.5,0.0,30.5,48.75,69.5,9.0,34.0,44.0,45.25,23.25,49.25,26.25,39.75,24.75,28.5,4.75,0.0,42.25,54.5,25.5,25.25,15.5,0.0,71.0,55.75,18.5,18.5,36.5,23.75,12.75,16.75,23.0
2,0.0,12.25,69.0,51.0,0.0,39.75,36.75,21.0,27.0,39.0,6.5,17.25,12.5,6.0,12.75,11.25,30.0,23.0,0.0,61.0,11.75,30.75,47.75,17.5,56.5,30.0,20.5,20.75,40.0,14.0,27.25,72.5,47.0,24.75,22.0,0.0,76.5,18.5,16.5,12.5,18.75,23.75,49.25,29.0,18.5,12.0,22.25,0.0,0.0,11.25,8.5
3,0.0,0.0,64.25,60.0,0.0,53.5,48.0,20.5,29.75,26.0,6.0,27.25,5.75,5.75,8.5,19.75,43.5,16.25,0.0,42.75,19.75,25.0,69.75,42.25,65.75,25.75,34.0,44.5,69.75,21.5,35.5,60.75,58.0,33.75,32.5,13.0,41.75,5.5,17.5,17.25,29.0,14.75,27.75,9.5,24.25,5.5,5.5,6.0,0.0,0.0,31.5
4,0.0,0.0,21.25,43.75,10.25,44.0,13.5,63.75,5.0,12.75,47.25,11.0,7.75,12.25,19.75,30.25,41.75,39.25,28.75,31.25,15.25,11.25,36.0,44.75,39.0,19.25,42.5,65.5,54.25,42.75,6.25,6.0,17.0,10.75,35.25,0.0,25.75,39.0,12.5,14.25,32.75,0.0,35.75,53.25,12.25,23.75,34.0,19.0,6.5,22.0,21.0
5,0.0,0.0,35.0,23.25,0.0,31.25,17.25,20.5,15.75,10.75,5.5,17.75,0.0,10.5,6.0,5.75,21.0,21.5,0.0,35.0,40.0,11.25,58.0,17.0,72.75,17.0,18.5,26.0,64.25,30.25,25.75,37.75,32.5,39.0,25.0,27.25,28.25,5.25,15.0,17.25,17.5,28.75,78.5,40.0,12.5,22.25,16.25,16.75,0.0,0.0,0.0
6,0.0,0.0,13.0,39.0,5.25,69.75,26.25,50.0,17.75,0.0,31.75,0.0,0.0,0.0,0.0,26.25,5.5,33.25,13.5,24.75,0.0,62.5,13.25,66.0,52.75,19.0,65.5,28.75,61.5,20.5,55.25,59.0,33.0,21.0,30.75,13.5,7.75,15.75,26.75,19.0,5.75,14.5,80.0,25.0,20.5,35.0,24.5,13.5,7.5,6.75,0.0
7,0.0,0.0,34.75,53.0,16.0,32.25,28.25,40.0,0.0,15.0,34.5,5.75,0.0,0.0,18.5,46.0,10.75,27.0,47.5,28.5,0.0,41.25,28.25,70.5,55.5,35.5,24.0,51.5,26.0,75.0,13.25,42.75,62.0,34.75,0.0,0.0,13.0,55.75,16.25,5.75,5.5,0.0,47.75,27.5,17.5,29.75,16.0,17.0,23.25,5.75,23.75
8,0.0,0.0,71.25,26.5,6.75,14.5,33.25,42.25,31.25,10.5,6.25,20.5,0.0,7.25,16.0,19.5,13.5,25.75,14.25,41.25,44.25,28.5,67.25,27.5,39.5,27.5,21.5,54.25,73.75,39.25,41.75,39.0,39.25,17.5,34.0,14.5,20.25,33.5,27.0,13.25,13.0,34.5,38.75,13.75,34.5,21.25,14.25,0.0,6.5,11.5,28.75
9,0.0,0.0,28.5,26.75,9.0,31.0,21.0,43.5,4.5,20.0,25.5,5.5,5.5,5.25,6.0,35.0,14.25,33.0,15.25,26.0,11.25,26.75,33.5,50.75,29.5,16.25,27.0,46.0,43.0,12.0,0.0,53.75,36.0,21.75,10.0,0.0,30.0,10.0,23.5,15.25,21.5,0.0,49.25,37.0,16.5,10.0,18.75,19.75,5.0,19.75,5.0
10,0.0,0.0,45.75,51.25,0.0,47.5,33.5,29.25,6.5,30.5,0.0,18.0,8.0,0.0,7.75,21.5,25.5,0.0,0.0,61.0,36.75,15.25,63.75,7.5,58.0,23.75,16.75,20.25,91.25,37.25,0.0,56.25,28.25,35.75,33.25,17.25,36.5,27.0,13.75,0.0,18.5,31.5,75.0,26.0,35.5,41.75,20.5,7.5,0.0,17.75,0.0
