fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,11.25,0.0,16.25,17.75,0.0,15.25,0.0,0.0
2020-03-15,34.0,12.0,33.5,40.75,22.5,40.75,21.0,23.0
2020-03-22,34.0,40.5,50.0,41.5,39.25,31.75,44.75,83.75
2020-03-29,30.0,23.5,35.0,24.0,24.0,29.75,36.5,63.0
2020-04-05,74.25,30.25,74.5,64.5,42.0,62.75,57.5,54.0
2020-04-12,38.5,47.75,42.75,39.25,51.25,35.5,43.75,65.75
2020-04-19,5.25,11.5,31.25,30.5,6.5,28.0,2.25,11.25
2020-04-26,23.0,35.0,32.5,23.0,42.75,36.75,23.25,52.25
2020-05-03,26.25,4.25,37.5,35.0,4.25,22.25,11.5,3.25
2020-05-10,12.25,18.25,3.75,14.25,12.75,18.75,18.25,19.5
2020-05-17,0.0,21.25,5.75,6.5,17.25,0.0,15.0,16.25
2020-05-24,20.75,14.25,16.0,32.0,7.25,11.0,4.0,22.25
2020-05-31,24.25,9.25,16.5,29.5,17.75,25.75,25.75,29.75
2020-06-07,11.5,18.0,22.0,14.75,9.25,10.0,15.0,11.0
2020-06-14,0.0,19.0,0.0,0.0,9.75,0.0,11.5,11.5
2020-06-21,45.0,31.0,34.25,39.5,17.25,19.5,13.25,62.0
2020-06-28,8.75,13.75,8.75,6.0,7.0,11.5,15.75,6.0
2020-07-05,23.0,16.5,5.5,9.25,18.5,11.25,13.75,24.5
2020-07-12,41.0,16.0,63.5,25.5,17.75,42.75,14.25,38.0
2020-07-19,12.75,51.5,11.0,29.5,57.5,7.75,45.25,72.5
2020-07-26,24.5,43.75,34.25,34.0,30.0,39.25,28.75,40.5
2020-08-02,18.0,30.0,36.25,12.0,27.75,18.5,30.75,41.5
2020-08-09,30.5,15.25,57.0,58.0,20.5,60.25,10.0,33.75
2020-08-16,42.75,80.0,51.25,55.0,52.0,74.5,82.0,85.75
2020-08-23,41.5,35.5,39.75,41.75,21.0,31.0,24.75,15.75
2020-08-30,26.5,21.75,25.25,29.0,31.75,24.75,23.5,43.0
2020-09-06,49.25,13.75,48.0,39.25,28.0,41.75,15.25,8.0
2020-09-13,88.0,60.0,72.0,75.75,48.25,71.75,71.25,65.25
2020-09-20,80.25,35.5,65.75,71.0,31.25,52.5,22.25,47.75
2020-09-27,55.25,44.0,45.75,55.25,60.75,21.5,45.0,49.75
2020-10-04,34.0,76.0,35.5,29.5,62.0,34.5,46.25,65.25
2020-10-11,53.0,48.75,65.5,56.75,39.75,43.75,30.0,38.0
2020-10-18,41.5,52.5,36.25,51.25,41.0,44.75,60.25,52.25
2020-10-25,58.0,21.0,33.25,46.25,22.25,30.75,37.25,23.0
2020-11-01,34.0,33.0,27.25,34.75,25.5,38.5,35.5,53.5
2020-11-08,41.75,31.5,33.25,51.25,33.0,25.75,19.25,33.25
2020-11-15,10.75,28.25,13.0,21.25,12.0,23.75,22.5,34.0
2020-11-22,44.0,40.75,31.5,44.5,33.5,43.25,35.5,51.0
2020-11-29,15.0,14.75,14.5,7.5,13.75,8.25,24.5,15.0
2020-12-06,46.75,47.0,66.75,45.0,59.5,38.75,27.25,62.25
2020-12-13,28.75,52.75,27.25,29.0,39.0,29.0,32.5,54.25
2020-12-20,85.75,48.5,77.25,65.0,61.5,65.75,55.5,64.25
2020-12-27,74.75,61.0,67.75,68.75,97.0,73.25,82.5,61.0
2021-01-03,52.5,64.5,50.25,46.75,35.5,41.25,31.5,42.75
2021-01-10,59.25,30.0,47.75,54.75,15.0,66.75,16.5,37.25
2021-01-17,52.0,23.25,22.75,34.0,20.25,30.25,28.5,23.5
2021-01-24,17.5,4.25,32.75,38.0,7.0,33.25,9.0,3.0
2021-01-31,23.5,17.5,23.0,40.5,16.75,29.0,29.0,22.5
2021-02-07,20.0,10.75,21.25,16.0,15.25,22.0,21.5,24.25
2021-02-14,39.25,24.0,35.0,35.75,21.5,35.5,13.0,27.25
