fecha,0,1,2,3,4,5,6,7
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,17.5,5.75,19.0,19.25,8.5,13.75,9.75,7.75
2020-03-15,32.0,20.5,19.25,30.25,17.25,37.75,29.5,19.5
2020-03-22,18.75,35.25,21.25,22.25,28.5,22.5,20.0,29.75
2020-03-29,44.5,18.25,36.25,35.75,20.0,42.25,35.75,11.75
2020-04-05,24.0,28.75,21.75,31.75,33.25,16.5,19.25,51.5
2020-04-12,33.0,28.0,37.25,22.25,33.0,38.5,20.5,29.75
2020-04-19,38.75,38.0,42.75,40.5,30.5,50.5,50.25,25.5
2020-04-26,25.0,26.5,17.5,18.25,24.0,22.0,19.5,21.75
2020-05-03,10.0,1.25,15.25,11.25,2.5,14.5,17.5,0.0
2020-05-10,16.5,8.0,13.0,14.25,8.25,16.5,19.75,5.25
2020-05-17,13.5,8.5,22.75,17.75,12.75,27.75,11.75,6.75
2020-05-24,8.25,12.75,7.5,6.25,13.25,9.5,10.5,7.75
2020-05-31,10.25,13.75,7.75,12.75,13.25,7.75,12.75,6.75
2020-06-07,14.25,12.5,12.25,12.75,4.5,18.0,8.75,7.75
2020-06-14,18.5,6.75,15.0,14.75,9.25,16.0,7.0,8.5
2020-06-21,16.25,14.5,21.5,13.5,23.75,14.5,19.5,26.5
2020-06-28,23.75,39.5,27.5,35.0,35.25,32.25,30.5,38.0
2020-07-05,44.0,38.0,41.0,45.25,40.75,35.75,35.25,36.0
2020-07-12,32.75,29.75,26.5,23.75,36.75,25.75,22.75,31.75
2020-07-19,47.5,39.5,56.5,52.0,35.0,55.75,60.0,31.75
2020-07-26,55.0,56.5,71.75,71.75,58.25,88.5,66.0,72.5
2020-08-02,93.5,85.0,100.0,91.25,96.75,91.75,86.25,99.25
2020-08-09,95.75,84.5,77.5,67.25,79.25,84.25,86.75,87.25
2020-08-16,68.5,84.0,74.5,68.75,68.0,81.75,71.75,69.5
2020-08-23,36.25,78.0,36.0,42.5,86.0,45.25,32.25,60.5
2020-08-30,43.25,34.25,53.25,32.5,33.75,48.0,50.5,21.75
2020-09-06,55.0,59.5,47.5,45.75,36.0,35.75,38.5,56.75
2020-09-13,37.0,25.5,50.25,42.25,30.0,56.0,56.5,21.75
2020-09-20,15.5,20.25,13.0,14.0,13.75,15.0,21.5,10.25
2020-09-27,26.75,24.75,27.25,32.5,38.5,20.25,21.25,25.5
2020-10-04,18.25,28.75,17.0,19.0,36.5,24.5,13.25,33.5
2020-10-11,28.0,19.25,17.25,19.5,25.75,36.0,19.5,22.5
2020-10-18,20.75,28.75,31.25,17.0,22.75,26.25,24.75,19.25
2020-10-25,19.5,27.5,21.5,21.25,39.0,29.5,16.5,35.5
2020-11-01,13.0,29.25,10.5,11.0,25.25,21.5,13.75,21.0
2020-11-08,19.75,4.0,16.25,22.5,8.5,15.0,22.25,8.25
2020-11-15,3.0,15.5,4.25,1.75,11.25,4.75,1.25,10.75
2020-11-22,16.75,17.25,16.5,17.25,17.25,14.75,15.75,13.5
2020-11-29,21.25,20.5,14.5,17.25,24.75,22.25,19.0,15.75
2020-12-06,27.0,15.5,26.5,30.25,25.0,34.25,26.5,20.75
2020-12-13,20.0,20.0,26.25,11.75,25.75,17.5,23.75,20.0
2020-12-20,28.75,31.75,32.0,23.0,47.25,40.5,24.25,17.25
2020-12-27,52.5,14.0,63.0,53.75,16.75,67.5,57.5,20.0
2021-01-03,46.5,29.5,38.5,29.0,46.0,48.5,42.75,22.5
2021-01-10,15.5,34.25,19.0,21.0,34.0,14.5,14.0,28.25
2021-01-17,41.75,44.25,32.75,27.5,31.75,38.75,34.5,24.0
2021-01-24,26.0,16.0,31.5,34.25,26.5,33.25,34.75,24.0
2021-01-31,21.25,30.25,29.75,14.25,28.5,21.5,14.0,24.75
2021-02-07,21.25,25.0,30.0,36.0,24.75,34.0,34.5,30.75
2021-02-14,4.75,23.25,16.25,7.5,20.75,10.0,14.75,21.25
