,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31
0,0.0,13.0,29.5,8.25,47.25,0.0,4.0,28.5,15.25,14.25,4.5,8.25,4.0,10.75,15.75,11.5,16.25,4.5,14.5,18.75,58.0,31.25,96.5,19.0,82.25,17.5,23.0,20.25,31.5,0.0,13.5,25.5,49.75,0.0,10.75,11.0,0.0,12.5,8.75,0.0,4.5,0.0,11.25,9.5,25.0,0.0,22.75,34.5,38.75,7.75,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,8.0,22.75,37.75,15.5,37.75,18.0,14.75,16.75,11.25,0.0,0.0,0.0,11.75,8.0,24.5,32.25,9.0,21.5,86.5,80.75,55.5,39.0,26.0,29.5,43.5,23.0,19.0,9.5,0.0,8.5,16.0,36.25,0.0,10.5,0.0,15.25,22.75,7.5,16.0,21.75,20.0,9.5,17.75,4.25,0.0,4.75,8.75,8.75,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,11.0,27.25,30.0,34.5,0.0,3.5,29.25,18.75,20.75,11.25,10.5,7.75,3.5,19.5,8.25,16.75,3.75,29.75,5.0,64.0,30.75,67.0,30.5,83.25,26.0,25.5,14.75,14.0,22.5,17.75,12.0,39.5,0.0,3.5,14.75,0.0,32.25,0.0,0.0,11.75,0.0,10.0,5.0,17.5,0.0,18.0,39.5,37.25,4.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,38.75,3.25,38.25,0.0,22.0,24.75,13.75,18.25,0.0,5.25,5.5,12.25,14.75,18.75,18.5,0.0,24.0,37.25,56.75,45.5,70.0,28.25,85.5,36.0,18.75,19.5,16.75,4.0,0.0,18.25,43.5,0.0,8.75,14.25,0.0,44.75,3.5,0.0,3.75,0.0,22.75,0.0,14.75,0.0,29.0,26.75,25.0,16.0,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,15.5,43.0,21.25,50.5,0.0,22.0,16.75,21.0,18.0,16.75,9.75,5.0,10.5,15.75,5.5,11.25,4.75,24.75,32.25,55.25,37.0,68.75,42.5,82.25,25.0,35.75,32.25,39.75,7.5,7.5,13.0,43.25,0.0,0.0,11.25,0.0,32.5,6.25,0.0,0.0,0.0,7.25,14.25,50.5,0.0,24.75,36.25,33.0,0.0,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,46.0,32.75,44.75,0.0,7.25,12.75,21.75,14.75,7.5,8.25,5.0,14.75,26.0,9.75,17.75,0.0,33.25,33.5,57.75,22.25,73.25,15.5,76.5,18.25,12.5,14.0,19.0,19.25,8.5,14.0,25.0,0.0,0.0,7.25,0.0,25.75,0.0,0.0,12.5,0.0,17.0,4.75,20.75,0.0,12.5,39.75,14.25,12.5,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,49.75,18.5,28.0,0.0,15.75,49.25,13.75,0.0,5.25,14.0,5.5,10.5,25.0,15.25,0.0,6.0,26.25,41.5,86.75,43.75,59.75,37.75,92.0,16.0,26.0,10.5,6.5,22.75,6.0,6.25,49.0,0.0,0.0,0.0,0.0,25.0,5.5,0.0,11.75,0.0,18.25,12.0,53.25,0.0,22.0,23.75,33.75,0.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,27.25,10.75,13.25,35.25,16.5,12.75,33.5,14.5,0.0,0.0,0.0,5.5,0.0,9.0,29.25,20.75,28.25,78.0,65.5,85.5,15.75,51.25,37.75,37.5,16.5,5.25,28.0,9.5,0.0,18.5,19.0,0.0,0.0,0.0,22.5,4.5,8.5,10.75,19.5,23.75,17.0,21.75,20.75,14.75,15.5,12.25,0.0,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,14.25,25.5,33.25,10.0,19.25,14.25,13.0,17.25,3.25,2.75,10.25,10.25,21.25,20.0,17.5,17.75,11.5,21.0,82.0,40.25,77.25,30.5,57.75,13.0,22.25,16.25,33.5,9.25,3.25,18.0,27.0,3.5,12.75,30.0,0.0,19.5,6.5,0.0,15.5,3.75,18.0,12.0,19.5,4.0,13.25,21.5,31.75,9.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,11.5,11.5,5.0,26.5,23.0,36.25,30.25,26.75,24.5,10.75,11.0,0.0,10.0,28.25,0.0,23.0,11.5,48.75,23.5,49.5,36.5,70.5,75.0,43.5,42.75,18.5,32.25,58.75,12.25,12.5,6.0,28.25,22.75,11.0,11.0,22.5,11.0,16.0,0.0,23.5,18.0,34.5,29.25,32.5,25.75,12.5,12.5,0.0,6.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,10.75,41.5,22.75,15.0,0.0,15.0,30.25,17.5,20.75,21.25,10.25,10.0,5.75,13.5,18.75,21.75,5.0,23.25,39.75,58.25,32.5,68.75,20.25,89.25,26.75,39.25,16.25,3.25,12.0,3.5,27.0,28.25,0.0,3.0,30.25,0.0,26.0,3.0,0.0,14.25,0.0,10.25,0.0,23.25,0.0,3.5,18.25,29.25,14.5,12.25,54.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.0,6.75,20.75,11.5,18.25,55.0,20.5,10.5,13.0,4.0,0.0,0.0,0.0,7.5,0.0,8.0,11.5,24.75,23.75,54.25,68.5,82.0,45.5,45.5,22.75,42.0,35.5,16.5,21.0,7.5,15.5,0.0,34.25,0.0,10.0,0.0,18.0,17.5,15.0,16.25,24.0,32.25,19.0,16.0,18.0,13.25,4.75,15.0,11.75,21.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,7.5,16.0,24.75,28.0,21.75,20.25,25.75,21.0,12.75,7.0,4.25,4.25,7.0,8.75,23.5,11.5,0.0,13.25,29.5,59.5,37.75,85.5,41.0,76.75,16.0,39.5,3.5,13.5,18.0,0.0,19.0,37.5,14.25,7.25,0.0,0.0,13.0,18.0,7.25,3.25,7.75,0.0,24.5,22.75,0.0,14.75,11.5,32.75,13.0,8.25,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.0,24.5,32.5,51.75,5.75,32.75,22.5,18.75,23.5,0.0,0.0,0.0,6.5,32.25,12.75,4.75,7.5,31.25,37.5,69.75,53.75,85.0,41.25,71.0,38.5,43.75,18.5,39.0,11.5,14.25,20.0,44.25,5.75,14.5,23.0,0.0,23.0,12.0,0.0,11.75,12.5,35.5,14.75,11.75,6.75,28.25,21.5,19.25,19.75,5.25,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.0,10.0,27.25,27.0,55.5,41.0,4.0,12.0,15.75,17.75,0.0,0.0,0.0,0.0,13.5,9.0,14.0,14.75,39.25,81.25,87.5,81.5,44.25,28.0,18.5,51.75,31.75,16.0,22.25,14.0,0.0,13.25,22.5,0.0,8.25,0.0,27.0,9.0,5.75,13.75,29.5,25.5,23.0,13.75,11.0,0.0,9.75,15.25,4.0,21.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,9.5,24.0,32.0,39.0,0.0,17.75,21.75,23.75,7.75,4.25,4.0,14.5,8.75,23.5,15.0,19.5,9.0,32.0,15.25,46.75,36.25,88.0,21.75,74.25,10.75,31.5,16.25,39.25,26.5,6.5,15.5,49.25,0.0,9.25,0.0,0.0,15.0,5.0,0.0,5.75,0.0,20.5,12.75,34.25,0.0,18.0,31.5,30.0,0.0,5.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,8.75,31.25,21.5,35.75,3.25,18.25,13.0,6.75,15.5,3.25,3.5,5.5,0.0,0.0,9.25,0.0,7.25,7.75,31.0,56.5,45.0,61.0,30.5,51.5,0.0,46.25,8.0,17.5,4.0,14.25,21.75,39.0,6.75,8.5,17.5,0.0,15.5,10.0,3.25,7.25,3.75,4.5,4.5,10.5,7.75,11.75,24.0,23.5,4.0,18.75,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
