fecha,0,1,2,3,4,5,6,7,8
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,19.75,25.0,19.5,11.5,26.25,26.75,19.5,27.25,13.5
2020-03-29,20.25,16.75,40.25,23.75,27.75,16.25,17.0,22.75,27.75
2020-04-05,38.0,3.5,57.75,45.5,17.75,65.5,21.25,0.0,60.25
2020-04-12,37.25,3.0,60.75,38.25,13.25,41.0,17.25,7.25,41.0
2020-04-19,53.0,50.0,58.0,37.25,53.5,48.0,48.75,44.75,39.5
2020-04-26,18.75,9.75,0.0,18.25,18.25,28.0,15.0,0.0,0.0
2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,35.5,0.0,5.5,27.5,0.0,20.75,13.25,0.0,8.0
2020-05-17,17.5,13.25,23.25,7.0,52.0,0.0,10.75,15.25,29.5
2020-05-24,0.0,6.5,0.0,0.0,11.0,0.0,5.25,0.0,0.0
2020-05-31,0.0,11.25,0.0,0.0,22.0,0.0,4.25,16.0,0.0
2020-06-07,0.0,3.75,12.0,11.5,14.5,13.0,5.5,0.0,7.25
2020-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,5.75,0.0,23.25,28.25,0.0,23.5,11.25,0.0,15.25
2020-06-28,11.0,0.0,0.0,14.25,0.0,8.0,7.5,0.0,8.0
2020-07-05,11.0,32.5,0.0,0.0,61.75,20.5,24.25,43.5,8.0
2020-07-12,6.0,6.25,0.0,7.75,6.25,7.75,13.5,20.5,8.25
2020-07-19,21.75,24.75,12.75,5.25,10.5,0.0,4.75,8.25,0.0
2020-07-26,67.25,15.5,38.25,25.25,37.75,22.5,45.5,0.0,56.75
2020-08-02,37.0,59.75,52.75,15.5,43.25,49.75,28.5,47.5,24.0
2020-08-09,98.25,42.5,87.5,68.25,57.25,71.5,84.0,40.25,77.25
2020-08-16,49.5,20.75,53.75,50.75,21.5,62.25,11.75,8.25,75.0
2020-08-23,53.5,90.5,27.0,43.25,70.0,66.0,80.25,99.75,64.25
2020-08-30,47.5,3.5,41.5,25.0,10.25,38.75,25.5,8.25,24.0
2020-09-06,22.25,8.5,24.75,52.5,48.25,31.25,50.0,41.0,54.75
2020-09-13,0.0,12.5,0.0,0.0,11.5,0.0,6.75,9.75,0.0
2020-09-20,22.75,18.0,36.5,31.0,25.5,39.75,23.25,19.5,39.25
2020-09-27,69.25,7.25,41.75,33.25,11.5,17.75,28.5,9.75,27.5
2020-10-04,0.0,15.75,0.0,0.0,18.25,0.0,5.75,9.75,0.0
2020-10-11,0.0,3.75,0.0,0.0,16.5,0.0,0.0,18.0,0.0
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,5.5,0.0,16.75,12.5,0.0,14.5,0.0,0.0,7.5
2020-11-08,0.0,0.0,17.75,15.5,6.0,0.0,5.75,8.25,0.0
2020-11-15,5.75,0.0,5.5,7.5,0.0,20.0,7.25,8.0,23.0
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,7.25,6.0,17.0,4.75,16.25,26.5,13.0,9.5,7.75
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,0.0,19.5,0.0,0.0,27.75,0.0,0.0,11.0,0.0
2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,7.25,0.0,17.75,14.75,0.0,24.25,9.0,0.0,19.25
2021-01-03,8.25,0.0,6.0,15.0,0.0,30.25,0.0,0.0,26.0
2021-01-10,15.0,0.0,0.0,8.5,0.0,0.0,8.25,0.0,17.5
2021-01-17,0.0,6.75,0.0,0.0,12.75,0.0,6.0,8.75,0.0
2021-01-24,0.0,11.75,0.0,0.0,9.25,0.0,22.25,26.0,0.0
2021-01-31,25.75,21.5,13.0,16.0,6.0,38.0,19.0,18.25,0.0
2021-02-07,0.0,12.25,0.0,0.0,0.0,0.0,11.5,10.0,0.0
2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
