,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31
0,0.0,16.0,21.75,38.75,13.5,58.0,14.5,58.25,10.75,0.0,0.0,37.75,7.5,0.0,0.0,18.5,20.5,68.5,8.75,55.25,27.75,50.0,23.0,77.75,33.75,8.5,0.0,0.0,15.5,0.0,0.0,17.25,0.0,15.75,0.0,0.0,21.75,0.0,0.0,0.0,0.0,0.0,28.5,30.75,0.0,0.0,0.0,0.0,0.0,26.0,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,41.75,0.0,8.0,11.0,54.5,50.5,14.25,7.25,0.0,20.5,0.0,28.25,0.0,0.0,0.0,17.0,20.25,53.75,84.75,8.5,22.75,31.0,47.75,25.25,22.5,0.0,10.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.25,8.5,35.5,10.5,4.5,0.0,0.0,0.0,0.0,0.0,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,7.5,44.25,7.5,36.25,16.25,18.75,23.0,15.0,0.0,24.0,9.5,10.75,0.0,12.0,18.0,50.5,6.25,71.25,21.0,8.25,35.0,100.0,52.75,21.0,0.0,0.0,13.5,0.0,0.0,15.0,0.0,4.0,0.0,0.0,15.75,0.0,0.0,10.25,0.0,0.0,4.75,9.5,0.0,14.75,0.0,0.0,0.0,18.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,21.0,68.25,7.5,7.75,26.75,55.75,7.25,6.5,0.0,27.0,12.75,24.0,0.0,14.25,28.75,40.75,24.25,74.0,6.25,39.0,39.75,37.75,24.0,12.25,0.0,0.0,16.5,0.0,0.0,23.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,14.0,0.0,0.0,0.0,0.0,6.0,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,10.0,8.0,20.5,14.25,16.25,39.25,9.75,14.25,0.0,3.25,11.25,22.0,0.0,0.0,16.5,27.0,44.5,20.75,83.25,29.75,45.25,25.0,40.25,29.25,23.25,3.75,3.75,17.5,3.75,0.0,17.75,0.0,0.0,0.0,0.0,11.0,0.0,0.0,16.25,11.5,3.5,23.25,0.0,20.5,0.0,0.0,3.5,8.0,16.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,14.75,23.75,42.25,15.0,23.75,0.0,20.75,56.75,13.5,0.0,7.5,7.25,29.25,0.0,16.0,8.0,82.25,25.0,58.5,34.0,33.5,58.0,57.75,42.0,25.75,0.0,0.0,26.75,0.0,0.0,16.75,0.0,0.0,0.0,0.0,15.5,0.0,0.0,16.5,0.0,0.0,18.75,19.0,8.5,17.25,0.0,0.0,0.0,24.75,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,7.5,8.0,75.5,21.0,39.5,0.0,33.25,14.5,32.5,0.0,64.75,0.0,21.0,0.0,0.0,7.75,39.0,8.25,89.0,0.0,16.0,8.25,87.5,81.5,17.0,0.0,0.0,59.25,0.0,0.0,8.25,0.0,31.0,0.0,0.0,8.25,0.0,0.0,8.5,0.0,0.0,9.25,9.75,33.0,24.5,0.0,0.0,0.0,8.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,22.5,0.0,11.0,16.75,21.0,54.25,20.5,7.75,0.0,12.0,17.75,34.0,0.0,0.0,0.0,10.0,39.0,15.0,83.75,10.5,13.5,9.25,40.75,39.75,17.75,0.0,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,13.25,0.0,4.25,26.75,16.25,29.0,0.0,0.0,4.25,14.25,0.0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,11.0,7.75,30.25,0.0,30.5,14.75,20.75,23.0,0.0,0.0,15.0,15.0,25.25,0.0,18.0,9.5,66.75,22.25,44.25,29.25,15.0,13.25,47.75,35.25,13.25,6.75,6.75,9.0,7.0,0.0,10.5,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,6.75,11.5,9.75,17.25,19.25,0.0,6.5,0.0,10.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,24.0,4.75,74.75,11.0,22.0,23.25,21.5,19.25,4.0,0.0,0.0,4.5,4.5,0.0,0.0,36.5,54.75,15.0,37.5,35.25,63.75,0.0,68.25,49.75,40.5,0.0,5.25,44.0,0.0,0.0,12.75,0.0,11.75,0.0,0.0,25.5,4.75,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,14.0,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,19.5,0.0,39.25,6.25,43.5,24.75,15.0,19.25,6.75,4.75,4.5,13.5,13.5,0.0,7.0,8.0,71.0,30.25,73.0,33.0,52.75,61.25,38.5,39.0,36.5,5.25,5.5,21.5,5.25,0.0,7.5,0.0,14.75,0.0,0.0,12.5,0.0,0.0,16.75,0.0,0.0,0.0,5.75,16.0,8.5,0.0,0.0,0.0,20.25,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,26.5,0.0,11.25,14.5,33.25,41.0,22.25,3.75,0.0,16.25,27.75,25.0,0.0,0.0,0.0,15.5,62.5,36.25,99.25,9.5,26.5,26.5,61.25,30.5,22.25,9.75,10.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,5.0,0.0,8.5,19.0,10.75,13.0,0.0,0.0,17.5,12.5,0.0,13.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,5.75,19.75,34.5,11.5,25.5,18.75,31.75,45.5,6.75,0.0,10.0,7.25,22.75,0.0,0.0,6.0,57.5,15.0,69.25,12.0,29.0,48.5,60.5,8.5,36.25,0.0,0.0,41.25,0.0,0.0,0.0,0.0,4.75,0.0,0.0,10.5,0.0,0.0,10.75,0.0,0.0,15.0,0.0,8.5,26.5,0.0,0.0,0.0,14.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,24.25,7.75,19.25,34.75,26.75,43.0,19.75,30.75,5.25,0.0,19.5,34.0,11.25,0.0,8.25,22.75,48.75,0.0,84.5,21.25,26.5,8.5,50.25,30.5,24.5,19.75,16.5,17.5,6.5,0.0,13.0,0.0,6.25,11.0,0.0,5.75,0.0,0.0,9.5,9.25,10.0,22.25,20.5,30.0,0.0,6.25,10.0,6.25,6.0,16.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
