,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02
0,0.0,0.0,7.25,59.0,21.75,0.0,20.25,50.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,20.5,11.25,41.5,62.0,33.0,73.25,55.0,56.5,53.5,26.25,43.0,24.25,0.0,0.0,19.25,13.75,6.75,0.0,0.0,31.25,11.25,0.0,0.0,11.5,39.25,0.0,14.25,0.0,8.25,61.0,11.75,20.0,0.0,12.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,30.25,0.0,0.0,40.0,22.0,27.75,41.5,9.5,0.0,0.0,39.25,7.5,6.0,0.0,0.0,6.25,0.0,25.5,42.25,41.0,87.5,18.5,0.0,19.0,27.75,12.75,33.0,22.5,13.75,0.0,0.0,12.75,36.5,0.0,8.25,17.75,0.0,18.75,0.0,15.5,0.0,9.75,0.0,45.5,0.0,18.5,0.0,20.5,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,18.75,69.75,20.25,0.0,21.0,20.75,10.75,0.0,0.0,0.0,0.0,0.0,0.0,7.75,14.0,36.5,19.75,50.0,50.5,71.75,43.5,58.5,55.5,40.25,10.0,11.25,13.0,0.0,26.25,18.5,11.75,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,23.0,0.0,20.5,34.5,17.25,18.75,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,4.5,35.25,19.0,12.25,17.25,31.25,12.25,0.0,14.25,0.0,0.0,0.0,0.0,4.75,11.25,22.75,26.75,70.75,55.75,55.75,33.25,37.0,38.75,61.5,16.0,8.0,0.0,0.0,17.5,14.5,17.5,0.0,0.0,16.5,12.25,0.0,0.0,23.25,46.0,0.0,6.0,0.0,11.75,21.5,6.25,13.0,0.0,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,7.5,19.75,3.5,19.0,6.75,40.5,30.0,9.5,7.0,0.0,10.75,0.0,11.25,8.0,17.0,15.25,12.5,37.75,42.75,42.25,28.75,41.5,8.5,16.25,12.0,45.5,12.25,37.0,4.5,8.5,9.0,13.0,11.75,0.0,8.0,0.0,0.0,24.5,12.0,0.0,5.25,0.0,8.75,21.5,8.25,11.75,0.0,4.25,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,31.5,71.0,22.75,7.5,19.25,45.0,15.75,0.0,5.25,0.0,0.0,0.0,0.0,7.75,29.5,23.5,12.0,25.25,37.25,50.5,60.0,74.0,44.75,53.25,16.75,19.0,12.5,0.0,9.0,16.5,0.0,0.0,0.0,8.25,6.0,0.0,0.0,19.0,22.75,0.0,17.75,0.0,22.0,20.25,0.0,8.0,0.0,4.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,29.25,33.75,21.5,7.25,6.5,33.0,23.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.5,42.5,18.25,12.5,71.5,44.5,53.0,41.5,31.0,61.75,33.5,28.75,0.0,0.0,20.25,0.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,18.5,30.0,0.0,14.5,9.25,0.0,13.0,19.0,12.0,0.0,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,18.25,0.0,0.0,33.75,0.0,7.0,47.25,13.0,0.0,0.0,39.0,32.25,15.5,0.0,0.0,11.25,0.0,45.75,51.0,75.0,64.75,12.0,0.0,48.75,27.75,54.25,38.5,33.5,0.0,0.0,0.0,8.75,19.0,0.0,16.0,11.5,0.0,20.5,0.0,17.0,0.0,29.0,0.0,21.0,0.0,11.75,0.0,12.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,20.0,59.75,28.0,0.0,29.25,54.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,21.5,12.75,6.0,28.25,40.5,69.75,67.75,70.0,97.0,58.75,63.25,16.5,19.75,16.5,0.0,24.75,16.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,19.5,0.0,17.5,36.75,0.0,22.0,0.0,12.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,5.25,22.25,20.25,0.0,17.0,10.5,15.25,10.5,9.5,10.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,24.75,19.25,38.75,80.5,80.5,50.0,19.25,37.0,0.0,31.25,0.0,6.5,20.5,12.25,0.0,6.5,0.0,12.0,6.0,11.5,0.0,12.0,12.5,25.25,0.0,14.75,6.5,18.75,12.25,0.0,0.0,12.5,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.0,38.5,44.0,23.0,16.75,13.75,26.75,13.25,0.0,7.25,0.0,0.0,0.0,0.0,0.0,18.75,32.75,59.5,69.25,27.75,60.5,68.25,65.5,62.75,65.25,18.75,19.5,0.0,0.0,17.5,10.5,17.0,0.0,0.0,8.0,15.75,0.0,0.0,18.25,25.5,0.0,29.75,0.0,28.0,16.5,8.0,0.0,0.0,8.0,0.0,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.0,41.5,0.0,0.0,47.25,6.75,7.25,32.25,12.75,0.0,0.0,35.25,0.0,21.25,0.0,0.0,15.5,0.0,14.5,80.5,83.5,83.25,8.25,0.0,16.25,36.5,39.75,31.25,13.0,8.75,0.0,0.0,6.75,15.0,0.0,7.75,0.0,0.0,14.5,0.0,6.5,0.0,26.75,0.0,14.75,0.0,8.25,0.0,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.0,48.5,0.0,12.75,38.0,11.75,30.25,35.0,7.25,0.0,0.0,8.25,8.75,9.5,0.0,0.0,15.0,5.25,5.25,75.25,70.0,58.25,41.0,20.5,24.75,21.25,26.5,20.0,25.75,10.5,0.0,0.0,17.25,9.0,0.0,0.0,15.0,0.0,10.0,10.25,27.25,0.0,13.5,0.0,26.0,10.0,15.0,0.0,10.0,6.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.0,28.25,40.25,13.75,3.75,17.25,25.0,8.75,0.0,4.25,3.5,0.0,3.75,0.0,6.0,10.5,18.5,45.25,16.25,46.0,58.25,56.25,76.25,42.0,54.25,23.75,26.75,6.5,4.5,13.5,10.25,0.0,0.0,0.0,6.25,10.25,0.0,0.0,12.5,11.25,5.25,15.5,0.0,0.0,35.75,6.25,6.0,0.0,5.0,20.25,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.0,47.25,0.0,0.0,29.0,7.0,57.75,7.25,13.0,0.0,0.0,38.0,10.25,12.25,0.0,0.0,0.0,0.0,31.5,42.25,71.5,72.75,0.0,0.0,32.0,49.25,41.5,34.0,40.75,13.0,0.0,0.0,21.5,8.0,0.0,16.0,11.0,0.0,11.5,0.0,8.25,0.0,22.75,0.0,45.0,0.0,28.5,0.0,8.0,21.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0.0,33.5,60.5,26.5,21.25,25.75,34.75,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,29.25,44.0,60.25,68.25,40.0,61.0,67.0,70.75,37.5,17.5,38.25,0.0,0.0,41.5,22.5,0.0,0.0,0.0,16.75,16.0,0.0,0.0,24.5,32.5,0.0,18.25,0.0,18.0,32.25,16.75,6.0,0.0,7.75,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
